loknr,areal_m2,loknr
10126,25092.36401367,10126
10213,61298.25341797,10213
10232,88044.97363281,10232
10425,142847.63671875,10425
10435,13681.02929688,10435
10436,26689.24804688,10436
10504,7842.75097656,10504
10598,31739.56640625,10598
10857,30699.95361328,10857
10859,35788.10791016,10859
10860,35881.58447266,10860
10862,136509.15917969,10862
10863,26835.70654297,10863
10864,18929.88574219,10864
10865,34824.32421875,10865
10868,80681.796875,10868
10869,13662.67236328,10869
10872,15928.92382813,10872
10876,63599.45898438,10876
10877,42527.375,10877
10882,146425.02880859,10882
10922,22331.7265625,10922
10949,12432.66699219,10949
10951,12892.75341797,10951
10961,68588.46630859,10961
10978,3226.21630859,10978
10989,70497.80664063,10989
11015,143272.99902344,11015
11072,56590.83496094,11072
11074,96292.54101563,11074
11087,57973.42333984,11087
11112,64680.31054688,11112
11116,21266.33496094,11116
11122,52018.515625,11122
11138,162026.5,11138
11168,69880.12011719,11168
11179,81.53125,11179
11198,32073.74804688,11198
11201,12929.26269531,11201
11205,23796.984375,11205
11230,4741.58789063,11230
11241,14477.796875,11241
11251,28807.20410156,11251
11252,24029.22558594,11252
11269,93330.51367188,11269
11273,29044.06347656,11273
11298,24784.04394531,11298
11315,200937.37597656,11315
11318,65551.49511719,11318
11320,68155.53417969,11320
11410,57388.19433594,11410
11413,130992.99902344,11413
11416,3731.37597656,11416
11438,80695.59863281,11438
11454,8760.93505859,11454
11925,7351.33544922,11925
11930,112427.98754883,11930
12011,52026.40625,12011
12071,43008.02197266,12071
12237,82815.08959961,12237
12298,64435.13037109,12298
12303,4185.26538086,12303
12308,20766.92407227,12308
12357,87083.70068359,12357
12361,69487.54931641,12361
12366,37326.64257813,12366
12370,70883.28320313,12370
12385,59232.00976563,12385
12394,65554.92480469,12394
12449,298848.97509766,12449
12466,118035.76806641,12466
12475,2057.77929688,12475
12483,44730.22412109,12483
12599,227720.03808594,12599
12624,171165.20507813,12624
12625,195943.71728516,12625
12633,94449.91845703,12633
12634,1702.34765625,12634
12705,105286.0390625,12705
12712,61028.04248047,12712
12819,41262.22412109,12819
12821,122959.32128906,12821
12855,160673.33544922,12855
12871,29933.44775391,12871
12872,45319.58105469,12872
12890,64744.39746094,12890
12892,75298.56982422,12892
12895,79550.31445313,12895
12896,39391.01611328,12896
12897,37025.13720703,12897
12951,47682.24902344,12951
12966,81543.35717773,12966
12988,64278.88598633,12988
13006,63192.03027344,13006
13009,11030.17382813,13009
