lice_limit,loc_nr,lice_year
0.5,33437,2017
0.5,30196,2017
0.5,35297,2017
0.5,30977,2017
0.5,15196,2017
0.5,10331,2017
0.5,12067,2017
0.5,12982,2017
0.5,10298,2017
0.5,11756,2017
0.5,13271,2017
0.5,12086,2017
0.5,11416,2017
0.5,13227,2017
0.5,11179,2017
0.5,10319,2017
0.5,11330,2017
0.5,11513,2017
0.5,33457,2017
0.5,11339,2017
0.5,32277,2017
0.5,32297,2017
0.5,33257,2017
0.5,30156,2017
0.5,13563,2017
0.5,13518,2017
0.5,32017,2017
0.5,11793,2017
0.5,29816,2017
0.5,29416,2017
0.5,12085,2017
0.5,11364,2017
0.5,24695,2017
0.5,11119,2017
0.5,10735,2017
0.5,35797,2017
0.5,12668,2017
0.5,20496,2017
0.5,14016,2017
0.5,13254,2017
0.5,32077,2017
0.5,12988,2017
0.5,10870,2017
0.5,12357,2017
0.5,10275,2017
0.5,11800,2017
0.5,26795,2017
0.5,13572,2017
0.5,12730,2017
0.5,29016,2017
0.5,13341,2017
0.5,19395,2017
0.5,32537,2017
0.5,13305,2017
0.5,13873,2017
0.5,11749,2017
0.5,31877,2017
0.5,10862,2017
0.5,18235,2017
0.5,13845,2017
0.5,25055,2017
0.5,12095,2017
0.5,20396,2017
0.5,30397,2017
0.5,13872,2017
0.5,11241,2017
0.5,11930,2017
0.5,12178,2017
0.5,12625,2017
0.5,31317,2017
0.5,22455,2017
0.5,12308,2017
0.5,23436,2017
0.5,34997,2017
0.5,25975,2017
0.5,11340,2017
0.5,29458,2017
0.5,19255,2017
0.5,12156,2017
0.5,31857,2017
0.5,24915,2017
0.5,11399,2017
0.5,10212,2017
0.5,12252,2017
0.5,13209,2017
0.5,13284,2017
0.5,13143,2017
0.5,10256,2017
0.5,11248,2017
0.5,11754,2017
0.5,15796,2017
0.5,20876,2017
0.5,11230,2017
0.5,36417,2017
0.5,12040,2017
0.5,34897,2017
0.5,11488,2017
0.5,33137,2017
0.5,11015,2017
0.5,13205,2017
0.5,12594,2017
0.5,11574,2017
0.5,15621,2017
0.5,28336,2017
0.5,32897,2017
0.5,13765,2017
0.5,33237,2017
0.5,36118,2017
0.5,10223,2017
0.5,10674,2017
0.5,33637,2017
0.5,34197,2017
0.5,12466,2017
0.5,35677,2017
0.5,12237,2017
0.5,13841,2017
0.5,11435,2017
0.5,31038,2017
0.5,11543,2017
0.5,25655,2017
0.5,33537,2017
0.5,11721,2017
0.5,27976,2017
0.5,12361,2017
0.5,11087,2017
0.5,11857,2017
0.5,22035,2017
0.5,11162,2017
0.5,12267,2017
0.5,12007,2017
0.5,32497,2017
0.5,32457,2017
0.5,31137,2017
0.5,35957,2017
0.5,15455,2017
0.5,10757,2017
0.5,11076,2017
0.5,12659,2017
0.5,13229,2017
0.5,21336,2017
0.5,14799,2017
0.5,10110,2017
0.5,10338,2017
0.5,20455,2017
0.5,25135,2017
0.5,26595,2017
0.5,11684,2017
0.5,30097,2017
0.5,33117,2017
0.5,34018,2017
0.5,10505,2017
0.5,35497,2017
0.5,32197,2017
0.5,11644,2017
0.5,35237,2017
0.5,13412,2017
0.5,11381,2017
0.5,21415,2017
0.5,32117,2017
0.5,32157,2017
0.5,12128,2017
0.5,35697,2017
0.5,12033,2017
0.5,13711,2017
0.5,12109,2017
0.5,12574,2017
0.5,14041,2017
0.5,30137,2017
0.5,30597,2017
0.5,19335,2017
0.5,15456,2017
0.5,10045,2017
0.5,34717,2017
0.5,10819,2017
0.5,13870,2017
0.5,34817,2017
0.5,35877,2017
0.5,29537,2017
0.5,30917,2017
0.5,10811,2017
0.5,33077,2017
0.5,32797,2017
0.5,12236,2017
0.5,12879,2017
0.5,11363,2017
0.5,34577,2017
0.5,32677,2017
0.5,10229,2017
0.5,24575,2017
0.5,31797,2017
0.5,12624,2017
0.5,31157,2017
0.5,13624,2017
0.5,11219,2017
0.5,13527,2017
0.5,30737,2017
0.5,11353,2017
0.5,31398,2017
0.5,11433,2017
0.5,14796,2017
0.5,10803,2017
0.5,26775,2017
0.5,32597,2017
0.5,10544,2017
0.5,22515,2017
0.5,11833,2017
0.5,19336,2017
0.5,36138,2017
0.5,25835,2017
0.5,30176,2017
0.5,29296,2017
0.5,13494,2017
0.5,12407,2017
0.5,11355,2017
0.5,25895,2017
0.5,29876,2017
0.5,21335,2017
0.5,21055,2017
0.5,35597,2017
0.5,16939,2017
0.5,33697,2017
0.5,19278,2017
0.5,10880,2017
0.5,11893,2017
0.5,26935,2017
0.5,31437,2017
0.5,19115,2017
0.5,11736,2017
0.5,22015,2017
0.5,11814,2017
0.5,13669,2017
0.5,13058,2017
0.5,10747,2017
0.5,13874,2017
0.5,12891,2017
0.5,31297,2017
0.5,11193,2017
0.5,12078,2017
0.5,11667,2017
0.5,10317,2017
0.5,12396,2017
0.5,13021,2017
0.5,34217,2017
0.5,11198,2017
0.5,26335,2017
0.5,31357,2017
0.5,34357,2017
0.5,20897,2017
0.5,11530,2017
0.5,24315,2017
0.5,13036,2017
0.5,25695,2017
0.5,33617,2017
