,localityNo,year,cleanerFish,comment,count,countCategory,countEstimated,countType,county,countyCode,createdDate,date,description,globalId,lastEditedDate,localityCapacity,localityName,municipalityNumber,objectId,parentId,recaptureDescription,recaptureStarted,recapturesCompleted,size,sizeEstimated,species,status,statusLocality,waterEnvironment,waterEnvironmentCode,week
0,30096,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12765,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10665,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13823,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33437,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30196,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11934,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,35297,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12084,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30977,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15196,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10331,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12067,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12982,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10298,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11756,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,45078,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13271,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12086,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11416,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,13227,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,11179,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11176,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11176,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,21376,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11579,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10319,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26375,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11330,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,11513,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,13108,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,38037,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33457,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11339,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,32277,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,32297,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,33257,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,30156,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,13563,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,13518,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,32017,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11793,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12123,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,29816,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,29416,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12085,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,11364,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,45033,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,12219,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,12173,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,24695,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,11119,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,10735,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,35797,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,39457,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,13775,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,11216,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10406,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,23815,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,11942,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,11938,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,10960,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,12668,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,20496,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,11967,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,14016,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,13254,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,32077,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,45087,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,12988,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,10870,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,10221,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,12357,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,10275,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,11800,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,45131,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,11800,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,11564,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,26795,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,13572,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,12730,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,29016,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
