ORG.NR/PERS.NR;NAVN;ADRESSE;POSTNR;POSTSTED;LOK_NR;LOK_NAVN;LOK_KOM;LOK_PLASS;LOK_KAP;LOK_ENHET
969159570;NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU);POSTBOKS 5003;1432;ÅS;10362;NMBU FISKELABORATORIET;ÅS;LAND;1;TN
855869942;NORSK INSTITUTT FOR VANNFORSKNING;ØKERNVEIEN 94;579;OSLO;10173;SOLBERGSTRAND;FROGN;LAND;7,5;TN
971349077;HAVFORSKNINGSINSTITUTTET;POSTBOKS 1870 NORDNES;5817;BERGEN;23015;FLØDEVIGEN;ARENDAL;LAND;19;TN
988983837;NIBIO - NORSK INSTITUTT FOR BIOØKONOMI;POSTBOKS 115;1431;ÅS;34317;LANDVIK;GRIMSTAD;LAND;4;TN
951375772;HELLESUND FISKEOPPDRETT AS;LANGHOLMSUND, KJEHOLMEN 1;4770;HØVÅG;33577;KJEHOLMEN II;FARSUND;SJØ;2340;TN
951375772;HELLESUND FISKEOPPDRETT AS;LANGHOLMSUND, KJEHOLMEN 1;4770;HØVÅG;29957;NAKKESTAD;LYNGDAL;SJØ;1560;TN
951375772;HELLESUND FISKEOPPDRETT AS;LANGHOLMSUND, KJEHOLMEN 1;4770;HØVÅG;14016;AUENES;LILLESAND;SJØ;910;TN
951375772;HELLESUND FISKEOPPDRETT AS;LANGHOLMSUND, KJEHOLMEN 1;4770;HØVÅG;12832;RISHOLMEN;LILLESAND;SJØ;585;TN
921707134;AGDER FYLKESKOMMUNE;POSTBOKS 788  STOA;4809;ARENDAL;11861;SKIPNINGSDALEN;FLEKKEFJORD;SJØ;6240;TN
921707134;AGDER FYLKESKOMMUNE;POSTBOKS 788  STOA;4809;ARENDAL;11857;BUKSEVIKA;FLEKKEFJORD;SJØ;4680;TN
925075329;BARING FARSUND AS;GRAVANE 12;4610;KRISTIANSAND S;45110;LUNDEVÅGEN;FARSUND;LAND;24000;TN
920917399;OCEAN FARM HOLDING AS;DANEFJELLVEIEN 20;4550;FARSUND;45115;HAUSVIK III;LYNGDAL;LAND;40;TN
921707134;AGDER FYLKESKOMMUNE;POSTBOKS 788  STOA;4809;ARENDAL;45101;TVEDESTRAND VGS;TVEDESTRAND;LAND;1;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;10281;STORE KVALFJORD;ALTA;SJØ;3600;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;31797;FARTØYVIKA;MÅSØY;SJØ;7200;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;32598;KOKELV;HAMMERFEST;SJØ;3600;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;33997;NÆRINGSBUKTA;HASVIK;SJØ;3600;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;33998;KLUBBEN;HASVIK;SJØ;3600;TN
980361306;GRIEG SEAFOOD FINNMARK AS;MARKVEIEN 38B;9510;ALTA;38857;VANNFJORDEN;NORDKAPP;SJØ;5670;TN
980361306;GRIEG SEAFOOD FINNMARK AS;MARKVEIEN 38B;9510;ALTA;37557;DAVATLUFT;ALTA;SJØ;5670;TN
980361306;GRIEG SEAFOOD FINNMARK AS;MARKVEIEN 38B;9510;ALTA;27015;KJØSEN;LOPPA;SJØ;2700;TN
980361306;GRIEG SEAFOOD FINNMARK AS;MARKVEIEN 38B;9510;ALTA;15462;SARNES;NORDKAPP;SJØ;4000;TN
980361306;GRIEG SEAFOOD FINNMARK AS;MARKVEIEN 38B;9510;ALTA;15460;LAHOLMEN;NORDKAPP;SJØ;7095;TN
980361306;GRIEG SEAFOOD FINNMARK AS;MARKVEIEN 38B;9510;ALTA;13119;HESTEN;ALTA;SJØ;2700;TN
980361306;GRIEG SEAFOOD FINNMARK AS;MARKVEIEN 38B;9510;ALTA;10814;MÅRSANJARGA;ALTA;SJØ;2700;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;10794;MORTENSNES;ALTA;SJØ;5400;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;10811;ELVA I ÅRØYSUNDET;ALTA;SJØ;1800;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;10839;STORE KUFJORD;ALTA;SJØ;2700;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;33517;PETTERNES;MÅSØY;SJØ;3600;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;35957;DANIELSVIKA;HAMMERFEST;SJØ;7200;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;34577;ENKENESET;HAMMERFEST;SJØ;3120;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;45017;Bakfjorden;MÅSØY;SJØ;8505;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;31917;KIRKENESET;HAMMERFEST;SJØ;2700;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;24535;STORHOLMEN;ALTA;SJØ;5400;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;10276;SOMMARBUKT;ALTA;SJØ;2580;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;10822;RIVARBUKT;ALTA;SJØ;3480;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;10614;KRÅKEVIK;ALTA;SJØ;3480;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;32617;YTRE KOVEN;ALTA;SJØ;5670;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;10791;NORDNES;ALTA;SJØ;3480;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;29557;KOMAGNES;HAMMERFEST;SJØ;7560;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;10819;EIDSNES;ALTA;SJØ;1800;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;10821;TUVAN;ALTA;SJØ;3480;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;32237;SLOPPEGRUNN;LOPPA;SJØ;2700;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;13317;LILLE KVALFJORD;ALTA;SJØ;2700;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;10840;LILLE KUFJORD;ALTA;SJØ;3120;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;10841;POLLEN;ALTA;SJØ;1800;TN
980361306;GRIEG SEAFOOD FINNMARK AS;MARKVEIEN 38B;9510;ALTA;20176;YTRE SIMANES;ALTA;SJØ;506;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;13996;HAMNEFJORD;HAMMERFEST;SJØ;8420;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;10789;STORE LERRESFJORD;ALTA;SJØ;3480;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;16055;KRÅKEBERGET;MÅSØY;SJØ;3600;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;36099;STORE KOBBØY;MÅSØY;SJØ;5400;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;37237;BØRFJORD;HASVIK;SJØ;2840;TN
961922976;CERMAQ NORWAY AS;NORDFOLDVEIEN 165;8286;NORDFOLD;10635;TOKNEBUKTNESET;HAMMERFEST;SJØ;3600;TN
990970602;NRS FARMING AS;POSTBOKS 17;9510;ALTA;36797;KORSNES;KARLSØY;SJØ;7200;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;34697;ØYRA;LEBESBY;SJØ;8300;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;32637;VEIDNES;BÅTSFJORD;SJØ;5900;TN
